,winPercentage,conference,schoolType,marchMadness22,newCoach,stadiumCap,avgHomeATT,homeATTPercentage,fiveStarRecruits2020,fourStarRecruits2020,threeStarRecruits2020,recruitingClassPoints2020,fiveStarRecruits2021,fourStarRecruits2021,threeStarRecruits2021,recruitingClassPoints2021,fiveStarRecruits2022,fourStarRecruits2022,threeStarRecruits2022,recruitingClassPoints2022,transferClassPoints2022,fiveStarRecruits20-22,fourStarRecruits20-22,threeStarRecruits20-22,recruitingClassAveragePoints20-22,gamesWon,gamesPlayed,PPG,FGM,FGA,FGPercentage,TPM,TPA,TPPercentage,FTM,FTA,FTPercentage,OR,DR,TR,AST,STL,BLK,TO,PF,oppPPG,oppFGM,oppFGA,oppFGPercentage,oppTPM,oppTPA,oppTPPercentage,oppFTM,oppFTA,oppFTPercentage,oppOR,oppDR,oppTR,oppAST,oppSTL,oppBLK,oppTO,oppPF,diffTR,diffOR,diffTO,pace,offRating,defRating,ASTPercentage,TPreliance
Miami,0.7837837838,ACC,Private,Yes,No,7972,5825,0.7306823884,0,2,0,50.06,0,3,0,56.84,0,2,2,58.34,22.55,0,7,2,55.08,29,37,79.1,28.6,59.6,48,7.5,20.4,36.8,14.4,18.3,78.4,10.4,24.4,34.7,14.5,7.3,3.1,11.1,14.2,71.9,26.8,59.8,44.8,7.7,23,33.5,10.6,14.4,74.1,9.8,22.3,32.1,14.6,5.9,3.4,12.5,15.3,2.6,0.5,-1.4,67.7,108.9,103,0.506993007,0.3477588872
NC State,0.6764705882,ACC,Public,No,No,19557,13253,0.6776601728,0,2,3,58.28,0,2,1,56.5,0,1,1,44.29,21.45,0,5,5,53.02333333,23,34,77.7,28.9,64.1,45,8.3,23.8,34.7,11.7,16.2,72.2,11.3,25.3,36.6,12.8,7.8,4.5,9.4,17.5,70.8,25.3,56.8,44.5,6,19.1,31.6,14.3,19.3,73.8,8.9,25.9,34.9,11.6,5.1,2.8,13.2,15.7,1.7,2.3,-3.7,68,105.3,109.2,0.4429065744,0.3772727273
Wake Forest,0.5757575758,ACC,Private,No,No,14407,8331,0.5782605678,0,1,2,47.66,0,0,3,47.42,0,1,1,39.77,22.35,0,2,6,44.95,19,33,76.6,26.6,57.8,46,9.5,26.2,36.4,13.8,18.6,74.6,8.3,25.9,34.2,13.5,6,2.7,12.1,16,73.8,27,60.3,44.8,8.2,23.3,35,11.6,16.1,71.9,9.4,25.2,34.6,12.5,7,3.8,12.2,17.9,-0.4,-1,-0.1,71.3,108.6,97.1,0.507518797,0.4538216561
UNC,0.6060606061,ACC,Public,Yes,No,21750,19890,0.9144827586,3,3,0,69.85,0,2,1,58.82,0,3,0,62.07,13.13,3,8,1,63.58,20,33,76.2,26.2,60.5,43.4,7.1,22.8,31.2,16.6,22.4,74.2,11.2,28.3,39.5,12,5.4,3.9,10.8,16.8,70.9,26.5,61.1,43.4,6.5,19.6,33,11.4,16.1,70.8,8.6,25.5,34.2,11.2,5.7,3.4,10.5,18.7,5.3,2.5,0.3,70.2,110,100.3,0.4580152672,0.3573825503
Pitt,0.6666666667,ACC,Public,No,No,12508,8194,0.6551007355,0,2,3,57.64,0,0,1,18.22,0,1,0,28.4,15.28,0,3,4,34.75333333,24,36,75.1,25.8,57.8,44.7,9,25.1,36,14.4,19,75.9,10.1,26,36.1,14.1,5.1,4.1,11.1,16.3,69.7,24.8,58.9,42,7.6,23.2,32.7,12.6,17.9,70.2,10.4,24.2,34.6,13.3,5.1,3.3,11.3,18,1.5,-0.3,-0.1,64.2,95.9,105.9,0.5465116279,0.4448105437
Clemson,0.6764705882,ACC,Public,No,No,9000,6517,0.7241111111,0,3,0,59.14,0,0,3,46.7,0,0,4,50.35,10.29,0,3,7,52.06333333,23,34,74.7,26.4,56.6,46.7,8.3,22.8,36.4,13.5,17.2,78.5,7.4,27.8,35.2,14.3,5.1,3.1,11.1,17.3,67.9,23.5,57.9,40.5,7.9,23.6,33.2,13.1,17.8,73.7,8.9,24.3,33.2,11.6,5.6,2.6,11.3,17,2,-1.5,-0.2,66.6,106.9,102,0.5416666667,0.4068627451
VT,0.5588235294,ACC,Public,Yes,No,10052,8431,0.8387385595,0,2,1,53.59,0,0,1,22.71,0,1,2,53.19,15.93,0,3,4,43.16333333,19,34,74.1,27.4,58.3,46.9,8.3,23.1,35.8,11.1,15.1,73.5,8.5,24.8,33.3,15.5,5.2,3.1,9.9,15.5,70.1,26.2,58.8,44.6,7.1,20.9,34,10.5,14.8,71,9.5,24.3,33.8,12.5,5.6,3.5,10.9,15.6,-0.5,-1,-1,63.6,110.9,98.5,0.5656934307,0.3952380952
Syracuse,0.53125,ACC,Public,No,No,35446,19102,0.5389042487,0,1,2,53.64,0,1,0,28.85,0,3,3,61.55,0,0,5,5,48.01333333,17,32,74.1,27.2,58.8,46.3,6.2,17.1,36.2,13.5,18,74.9,10.1,24.6,34.8,14.3,7.5,5,11.7,13.3,72.9,26.6,62,42.9,10.3,29.9,34.3,9.4,13.4,70.2,12.5,23.7,36.2,19.3,6.6,2.8,12.9,16.4,-1.4,-2.3,-1.2,68.6,110.7,107.7,0.5257352941,0.3069306931
Duke,0.75,ACC,Private,Yes,Yes,9314,9314,1,4,2,0,69.82,3,1,0,68.81,4,2,1,71.12,11.31,11,5,1,69.91666667,27,36,72,26,57.6,45.2,6.8,20.3,33.5,13.2,17.2,76.6,12,26.7,38.7,14.6,5.7,4.5,12,15.3,63.6,23.4,57.8,40.6,6.3,20.6,30.5,10.4,13.7,76.3,9.4,21.4,30.8,11.4,6.1,3.7,10.9,16.3,7.9,2.6,1.1,68.2,117,99.1,0.5615384615,0.3469387755
GT,0.4545454545,ACC,Public,No,No,8600,4713,0.5480232558,0,0,3,41.83,0,2,1,54.21,0,0,0,0,9.64,0,2,4,32.01333333,15,33,69.7,25.9,61.2,42.3,7.8,23.4,33.5,10.1,14.5,69.6,10.6,24.4,35,14,6,4.1,10.6,15.9,70.8,25.9,58.9,44.1,6.2,20.7,30.1,12.6,17.8,71.2,10.6,26,36.7,14.6,5.5,3.6,11,15.2,-1.7,0,-0.3,68.3,97.3,102,0.5405405405,0.3926174497
Notre Dame,0.34375,ACC,Private,Yes,No,9149,6118,0.6687069625,0,0,3,41.32,0,1,1,42.05,1,1,1,60.46,7.19,1,2,5,47.94333333,11,32,69.6,25.3,57.2,44.3,8.8,24.6,35.8,10.2,13.3,76.3,6.6,24.5,31.1,11.8,4.7,2.7,8.8,14.3,72.1,26.7,58.2,45.9,7.2,21,34.3,11.5,15.4,74.5,8.8,27,35.8,13.5,4.8,3.2,8.9,14.5,-4.7,-2.2,-0.1,65.7,108.1,100.6,0.4664031621,0.4444444444
FSU,0.28125,ACC,Public,No,No,12100,6567,0.5427272727,1,0,2,52.51,1,2,1,65.45,0,4,2,63.41,19.03,2,6,5,60.45666667,9,32,69.3,25.1,57.5,43.6,6.5,19.8,33,12.7,17.5,72.6,8.7,22.8,31.4,13.4,6.2,3.9,12.1,16.2,76.2,26.7,58.8,45.4,9.1,24.2,37.6,13.8,18.2,75.6,10.4,24.8,35.3,14.8,5.2,2.8,11.8,16.2,-3.9,-1.7,0.3,68.5,102.8,104,0.5338645418,0.3445229682
UVA,0.7575757576,ACC,Public,No,No,14593,14219,0.9743712739,0,2,1,59.96,0,1,0,26.55,0,4,0,64.18,10.96,0,7,1,50.23,25,33,67.8,24,53.5,44.9,6.7,19.1,35,13.1,18.6,70.3,8.3,24,32.2,15.7,6.8,4.3,8.5,14.3,60.5,21.6,52,41.5,7.1,20.8,34.1,10.2,13.7,74.8,7.9,24,32,11.4,4.8,3.7,12.2,16.2,0.2,0.3,-3.6,59.8,103.9,99.8,0.6541666667,0.3674588665
BC,0.4848484848,ACC,Private,No,No,8606,5230,0.6077155473,0,1,1,37.74,0,0,1,20.01,0,2,1,49.97,5.99,0,3,3,35.90666667,16,33,66.6,24.8,56.8,43.7,5.7,17.9,31.9,11.2,15.5,72.5,9.4,23.8,33.2,12.5,6.4,3.6,12.3,15.8,70.2,25.2,57,44.3,8.3,22.5,36.8,11.4,15.7,72.6,9.4,24.6,34,12.4,6.6,3.3,12.3,15.3,-0.8,0,0,65.8,100.2,102.9,0.5040322581,0.3086642599
Louisville,0.125,ACC,Public,No,Yes,22090,12497,0.5657311,0,3,1,58.1,0,3,1,60.44,0,2,1,55,13.89,0,8,3,57.84666667,4,32,63.9,22.4,53.1,42.1,6.3,19,32.9,12.9,17.5,74.1,9.2,23,32.2,9.3,4.5,2.8,14.9,16.5,75.8,27.4,58.2,47.1,8.1,23.1,35.2,12.8,17.8,72.2,9.9,23.4,33.3,15.4,7,3.5,10.2,16.8,-1.1,-0.7,4.7,67.5,98.9,103,0.4151785714,0.3705882353
Texas,0.7631578947,Big 12,Public,Yes,No,10763,10550,0.9802099786,1,0,0,29.68,0,1,0,28.67,2,1,1,66.75,26.34,3,2,1,41.7,29,38,78,28.5,60.2,47.3,7.2,20.8,34.7,13.8,18.4,74.8,9.6,24.4,34.1,16.2,7.9,3.6,11.6,17.4,67.8,23.8,56.1,42.5,6.3,19.5,32.4,13.8,18.9,73.2,10,24.4,34.4,11.1,5.8,3.2,15.7,17.4,-0.3,-0.3,-4.1,64.5,105.8,93.5,0.5684210526,0.3364485981
Baylor,0.6764705882,Big 12,Private,Yes,No,10284,9473,0.9211396344,0,2,1,57.09,1,2,0,62.27,1,0,1,47.48,19.29,2,4,2,55.61333333,23,34,77,25.9,57.6,45,9.5,25.8,36.8,15.8,21.2,74.4,11.5,22.5,34,14.2,6.6,2.4,12.1,17.4,70.3,25.4,55.9,45.4,6.9,21.2,32.5,12.6,17.5,71.8,10,21.9,31.9,15.2,6.1,2.9,13.5,18.4,2.1,1.4,-1.3,68.7,111.3,92.9,0.5482625483,0.4656862745
Kansas State,0.7222222222,Big 12,Public,No,Yes,11000,9596,0.8723636364,0,1,6,54.54,0,0,1,16.07,0,0,2,33.92,20.27,0,1,9,34.84333333,26,36,76.2,26.7,57.9,46.1,7.2,20.9,34.3,15.6,20.9,74.8,9.9,24.8,34.6,17,8,2.8,13.8,17.9,69.9,24.4,57.5,42.4,6.5,21.2,30.8,14.6,20.9,69.8,10.8,23.1,33.9,13.7,7.2,3.9,15,18.3,0.7,-0.9,-1.1,67.5,101.3,99.3,0.6367041199,0.3564356436
WVU,0.5588235294,Big 12,Public,No,No,14000,12004,0.8574285714,0,1,2,47.76,0,0,4,46.86,0,0,3,42.88,22.52,0,1,9,45.83333333,19,34,76,25.9,57.4,45.2,7.3,20.8,35,16.8,22.6,74.3,11.3,22.6,33.9,13,6.7,3.1,12.9,18.6,70.9,24.5,54.6,44.9,6.5,19.2,34,15.3,21.1,72.6,9.4,21.9,31.2,12.4,6.7,2.4,14.6,21.5,2.7,1.8,-1.6,68.6,99.8,100.8,0.5019305019,0.3699324324
Kansas,0.7777777778,Big 12,Public,Yes,No,16300,16300,1,1,0,3,58.84,0,4,0,63.7,1,3,0,68.01,14.67,2,7,3,63.51666667,28,36,75.4,27.8,59.5,46.8,7,20.1,34.7,12.8,17.8,72,9.8,26.1,35.9,16.4,8.8,3.9,12.3,16.6,68.1,24.3,58.4,41.5,6.4,20.6,31,13.2,18.2,72.5,10.5,24.3,34.9,11.3,6.1,2.8,14.3,16.1,1,-0.7,-1.9,69.5,111.5,95.9,0.5899280576,0.3354632588
TCU,0.6285714286,Big 12,Private,Yes,No,8500,6192,0.7284705882,0,0,3,46.87,0,0,1,19.33,0,0,1,20.4,11.65,0,0,5,28.86666667,22,35,75.3,27.6,60.8,45.3,5.6,18.2,31,14.5,20.7,69.9,11.5,24.3,35.8,16.1,8,4.7,11.9,16.5,68.4,24.9,58.2,42.7,6.3,20.4,30.8,12.4,17.5,70.6,10.7,24.2,34.9,13.7,6.3,4.4,15.4,16.7,0.9,0.7,-3.5,67.4,100.9,96,0.5833333333,0.2763157895
Texas Tech,0.5,Big 12,Public,Yes,No,15300,13222,0.8641830065,0,3,2,64.7,0,1,1,41.71,0,3,1,62.77,27.42,0,7,4,56.39333333,16,32,73.3,26,56.6,45.9,7.2,20.8,34.5,14.2,19.7,72.2,10.4,24.7,35.1,12.9,7.3,2.9,13.7,15.5,69,24.5,58.5,41.9,8.1,25.1,32.4,11.8,16.6,71.1,10.7,22,32.7,13.4,7.1,3.7,13.8,17.3,2.4,-0.2,-0.1,67,106.4,88.8,0.4961538462,0.3654822335
Oklahoma State,0.5555555556,Big 12,Public,No,No,13611,7532,0.5533759459,1,1,3,63.17,0,0,0,0,0,1,0,25.02,10.29,1,2,3,29.39666667,20,36,68.3,24.3,56.8,42.8,6.9,22.1,31,12.8,18.4,69.4,11.4,26,37.4,12.6,5.7,4.8,14.1,17,65.8,22.8,57.7,39.5,7.1,22.4,31.6,13.2,17.6,75.2,10.2,23.5,33.7,11.9,7.6,2.6,12.9,17.3,3.7,1.1,1.1,68.8,97,93.1,0.5185185185,0.372972973
Oklahoma,0.46875,Big 12,Public,No,No,11528,7105,0.6163254684,0,0,2,34.54,0,1,3,51.63,0,2,0,49.01,23.66,0,3,5,45.06,15,32,67.7,24.4,53.3,45.8,7,19.9,35.1,11.8,16,73.5,7.3,25.5,32.8,13,5.7,3,13.4,16.2,67.5,24.9,57.7,43.2,5.5,17.7,31.2,12.2,17.3,70.3,9.5,23.3,32.8,10.7,7.1,3.3,10.4,15.7,0,-2.2,3,66.2,102.9,97,0.5327868852,0.3756708408
Iowa State,0.5757575758,Big 12,Public,Yes,No,14267,13375,0.9374780963,0,1,3,55.5,0,1,0,28.63,0,0,3,48.72,23.65,0,2,6,44.28333333,19,33,67.6,25.3,57,44.3,6.4,19.3,33.1,10.7,15.9,67,11.5,22.1,33.6,13.8,8.8,2.9,12.9,19.2,62.6,20.3,48.4,42,7.6,22.6,33.7,14.3,19.8,72.5,8,22.5,30.4,11.8,6.8,2.9,16.5,17,3.2,3.5,-3.5,67.2,97,92.3,0.5454545455,0.3374340949
Iowa,0.5757575758,Big Ten,Public,Yes,No,15500,12371,0.7981290323,0,0,5,45.72,0,0,2,34.69,0,0,2,40.5,0,0,0,9,40.30333333,19,33,80.1,28.5,62.9,45.3,8,23.6,34,15,20.3,73.8,12.1,24.5,36.6,16.4,6.5,3.4,9.8,14.9,74.7,28.5,60.1,47.4,7.1,19.4,36.6,10.7,14.3,74.6,9.2,25.5,34.7,14.5,5.7,3.5,12.8,18.2,1.9,2.9,-3,70.5,117.3,100.9,0.5754385965,0.3686635945
Indiana,0.6571428571,Big Ten,Public,Yes,No,17472,16101,0.9215315934,1,1,2,62.43,0,2,0,50.68,1,2,1,65.86,0,2,5,3,59.65666667,23,35,74.7,28.4,58.4,48.6,5.7,15.5,36.8,12.2,17.2,71.1,9.2,26.5,35.7,15.2,5.8,5.1,11.5,17.1,68.7,24.3,59.5,40.9,7.5,22.5,33.4,12.5,17.7,70.4,10.9,23.4,34.3,11.7,6.5,3.2,11.2,16.1,1.4,-1.7,0.3,67.9,103.2,96.4,0.5352112676,0.2736
Illinois,0.6060606061,Big Ten,Public,Yes,No,15544,15091,0.9708569223,0,2,2,62.36,0,3,0,57.12,0,4,0,65.73,26.87,0,9,2,61.73666667,20,33,74.3,26.5,59,44.9,7.6,24.7,30.8,13.7,20.2,67.9,11.1,26.7,37.8,12.4,6.9,5.6,12.9,17,67.2,24.4,58.6,41.6,6,17.8,33.4,12.5,17.7,70.5,9.8,24,33.8,10.7,6.9,2.8,13,18.4,4,1.3,-0.1,67.6,109.3,97.7,0.4679245283,0.3762376238
Michigan,0.5294117647,Big Ten,Public,Yes,No,12707,11749,0.9246084835,0,3,1,62.74,2,3,1,69.36,0,4,0,65.69,12.38,2,10,2,65.93,18,34,73.4,26.4,58.6,45,7.7,21.9,35.1,12.9,18.1,71.1,8.9,27.9,36.7,12.2,4.6,4.6,10.5,15.5,69.6,26,61.2,42.5,6.6,20.7,31.7,11,15.8,69.8,9.7,25.6,35.3,11.8,5.3,2.6,9.9,17,1.4,-0.8,0.6,67.3,107.9,102.8,0.4621212121,0.3818181818
Purdue,0.8285714286,Big Ten,Public,Yes,No,14876,14876,1,0,2,1,54.5,0,2,0,50.42,0,2,1,52.44,0,0,6,2,52.45333333,29,35,72.7,25.3,55.3,45.7,6.8,21.2,32.2,15.3,20.6,74.4,12.3,26.4,38.7,15.5,4.7,3.7,11.1,13.7,62.7,24.1,57.8,41.6,6.4,20.5,31.4,8.2,11.1,73.8,8.1,19.7,27.9,12.3,6.1,2.9,9.9,18.9,10.8,4.2,1.2,66.8,117.6,101.9,0.6126482213,0.3554006969
Ohio State,0.4571428571,Big Ten,Public,Yes,No,18809,12181,0.6476155032,0,2,1,52.4,0,1,1,46.03,0,4,1,66.18,22.29,0,7,3,54.87,16,35,72.5,27.1,58.6,46.2,6.8,18.6,36.8,11.5,15.6,73.9,10.6,25.3,35.9,11.7,5.2,3.8,10.7,16.5,69,25.1,58.5,43,6.9,21.5,32.1,11.9,16.4,72.3,10.1,23,33.1,12.3,4.7,2.8,10.5,15.6,2.8,0.5,0.2,64.7,111.6,102.5,0.4317343173,0.3344262295
